Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
옥만이네 제주신화월드점,"해물,생선요리",제주 서귀포시 안덕면 병악로 28,0507-1303-2596,평점 없음,단체 이용 가능 포장 예약 무선 인터넷 유아의자 \ 반려동물 동반,주차가능 무료 매장 바로 앞 주차 가능합니다.,"https://naverbooking-phinf.pstatic.net/20260318_198/1773818825419hpU10_PNG/image.png, https://naverbooking-phinf.pstatic.net/20260227_263/1772160991514R7XBV_JPEG/4.jpg",10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,http://www.instagram.com/okman2ne,
원앤온리,"카페,디저트",제주 서귀포시 안덕면 산방로 141 원앤온리 제주,0507-1323-6186,평점 없음,무선 인터넷 남/녀 화장실 구분 포장 유아의자,"주차가능 무료 제주 서귀포의 절경, 황우치해변과 산방산 사이에 위치한 원앤온리 제주입니다. 내비게이션에 명칭을 검색하시면 편리하게 안내받으실 수 있으며, 황우치 해변이나 산방산 카페로 검색하셔도 쉽게 연결됩 니다. 방문객들의 편의를 위해 매장 앞에는 100대 이상 수... 내용 더보기","https://ldb-phinf.pstatic.net/20240929_215/1727578665274yImhS_JPEG/IMG_2692-Edit.jpg, https://ldb-phinf.pstatic.net/20240929_9/1727578573095AStA4_JPEG/IMG_2766-Edit.jpg",10:00,18:40,10:00,18:40,10:00,18:40,10:00,18:40,10:00,18:40,10:00,18:40,10:00,18:40,http://www.instagram.com/jejuoneandonly,
춘심이네 본점,"해물,생선요리",제주 서귀포시 안덕면 창천중앙로24번길 16 1층 춘심이네 본점,0507-1420-4018,평점 없음,콜키지 가능 유료 무선 인터넷 남/녀 화장실 구분 포장 단체 이용 가능 예약 대기공간 유아의자 출입구 휠체어 이용가능 장애인 주차구역,"주차가능 무료 춘심이네 본점은 전용주차장을 보유하고있습니다. 총 3개의 전용주 차장을 보유하고있으며 1,2주차장은 입구 바로앞에 있습니다. 승용 차는 1주차장을 이용해주시고 대형(30인승이상)은 2주차장을 이용 해주시면 됩니다. 3주차장은 약 30미터를 더 이동하시면 보... 내용 더보기","https://naverbooking-phinf.pstatic.net/20250401_19/1743511184741LGzrk_PNG/%B0%A5%C4%A1%B1%B8%C0%CC%BB%F3.png, https://naverbooking-phinf.pstatic.net/20250401_249/17435111851304tlnB_PNG/%B0%A5%C4%A1%BC%BC%C6%AE%BB%F3.png",10:30,21:00,10:00,20:00,10:30,21:00,10:30,21:00,10:00,20:00,10:30,21:00,10:30,21:00,https://www.instagram.com/chunsim_official,
제주해조네보말성게전문점,한식,제주 서귀포시 안덕면 대평감산로 12 제주해조네 보말성게전문점,0507-1417-7908,4.56,무한 리필 유기농 메뉴 포장 무선 인터넷 \ 반려동물 동반 유아의자,"주차가능 무료 가게 앞 맞은편에 3대 주차 가능하며, 도보 30m 거리에 마을 무료 주차장도 마련되어 있습니다.","https://ldb-phinf.pstatic.net/20241213_133/17340545101135jXas_JPEG/KakaoTalk_20241212_160425757_17.jpg, https://ldb-phinf.pstatic.net/20221004_151/16648429080294Remw_JPEG/KakaoTalk_20221004_091827793_11.jpg",08:00,15:00,08:00,15:00,휴무,휴무,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,http://www.instagram.com/jeju.haejo,
제주할망밥상 산방산본점,생선구이,제주 서귀포시 안덕면 화순해안로 89,0507-1414-3468,4.68,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 유아의자 출입구 휠체어 이용가능 장애인 주차구역,"주차가능 무료 매장 앞 50대 주차 가능한 전용 주차 공간이 마련되어 있어 차량 방 문도 주차 걱정 없이 편하게 이용 가능합니다. 1인 15,000원으로 정갈하고 푸짐한 한정식을 즐길 수 있어 부모님과 함께 오기 좋은 식 당, 아이와 함께 방문해도 부담 없는 식당, 여행 중 든든한 한... 내용 더보기","https://ldb-phinf.pstatic.net/20260120_210/1768887505515rbyEL_PNG/KakaoTalk_20260120_132737515.png, https://ldb-phinf.pstatic.net/20260327_100/1774619011774fynBz_JPEG/260325_%C1%A6%C1%D6_%C7%D2%B8%C1%B9%E4%BB%F3_%B8%F0%BD%BD%C6%F7%C1%A10477.jpg",09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,https://www.instagram.com/halmangbabsang_sbs,https://blog.naver.com/jejuhalmang_moseulpo
사계바다 통갈치조림구이 제주산방산점,"해물,생선요리",제주 서귀포시 안덕면 형제해안로 26 1층 사계바다,0507-1413-5501,4.71,단체 이용 가능 포장 유아의자 남/녀 화장실 구분 무선 인터넷 예약 \ 반려동물 동반 장애인 주차구역,주차가능 무료 [🚗주차안내] 매장 앞 12대 주차 가능합니다. 주차 걱정 없이 편하게 찾아와 주세요!,"https://naverbooking-phinf.pstatic.net/20260306_295/17727542069295nclA_PNG/image.png, https://ldb-phinf.pstatic.net/20240727_232/1722051437109sPKyE_JPEG/IMG_0303.jpeg",10:00,23:50,10:00,23:50,10:00,23:50,10:00,23:50,10:00,23:50,10:00,23:50,10:00,23:50,https://www.instagram.com/four_bada,
비밀역,"카페,디저트",제주 서귀포시 안덕면 화순중앙로124번길 26-1 비밀역,전화번호 없음,평점 없음,단체 이용 가능 예약 포장 무선 인터넷 남/녀 화장실 구분 대기공간,주차가능 무료 주차안내 (공영주차장) *제주 서귀포시 안덕면 화순중앙로 124번지 10 *제주 서귀포시 안덕면 화순해안로 69 ☆☆☆애견동반 불가☆ ☆☆ 내용 더보기,"https://ldb-phinf.pstatic.net/20250508_266/1746676361102nTm87_JPEG/IMG_5697.jpeg, https://ldb-phinf.pstatic.net/20250401_37/1743436511039cJybz_PNG/734B985E-80F4-4BB8-A87A-114CED6BC39A.png",10:30,18:00,10:30,18:00,10:30,18:00,10:30,18:00,10:30,18:00,10:30,18:00,10:30,18:00,https://www.instagram.com/the_secretstation,
카페루시아 본점,"카페,디저트",제주 서귀포시 안덕면 난드르로 49-17,0507-1448-9034,4.46,포장 남/녀 화장실 구분 무선 인터넷 단체 이용 가능 출입구 휠체어 이용가능 좌석 휠체어 이용가능 장애인 주차구역,주차가능 무료,"https://ldb-phinf.pstatic.net/20250919_250/1758251474807vuVJy_JPEG/IMG_7992.jpeg, https://ldb-phinf.pstatic.net/20250919_271/1758251414892awlOP_JPEG/IMG_7988.jpeg",09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,https://www.instagram.com/jeju_lucia_,https://blog.naver.com/lucia8003
제주순메밀막국수,막국수,제주 서귀포시 안덕면 녹차분재로 60,064-792-0600,평점 없음,,주차가능,"https://ldb-phinf.pstatic.net/20250303_53/1740962696708yAAwg_JPEG/KakaoTalk_20250303_094407841.jpg, https://ldb-phinf.pstatic.net/20210409_285/1617965564225tlMXO_JPEG/wWJx7y9YvDsNfMzVJdZ71ap6.JPG.jpg",10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,,
무로이,"카페,디저트",제주 서귀포시 안덕면 동광본동로 21 무로이,0507-1412-0008,평점 없음,단체 이용 가능 무선 인터넷 남/녀 화장실 구분 포장 대기공간,주차가능 무료,"https://ldb-phinf.pstatic.net/20260211_283/1770768283609ydrV7_PNG/%B9%AB%B7%CE%C0%CC%C4%AB%C6%E4_00001.png, https://ldb-phinf.pstatic.net/20260211_47/1770768276196XSWzf_PNG/%B9%AB%B7%CE%C0%CC%C4%AB%C6%E4_00004.png",10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,http://instagram.com/_muroi,
