Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
에이바우트커피 삼화점,카페,제주 제주시 동화로 56 1층,064-722-2555,평점 없음,단체 이용 가능 배달 남/녀 화장실 구분 무선 인터넷 포장 장애인 주차구역,주차가능,https://ldb-phinf.pstatic.net/20190114_68/1547456764221hX4PA_JPEG/HETSawLGIMwkouZyv6P7RZE1.jpg,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
또똣,국수,제주 제주시 동화로 12-2,0507-1325-3271,4.65,포장 무선 인터넷 유아의자,"주차가능 무료 - 가게에서 북쪽으로 50m이내 공영주차장 이용 가능합니다. - 주정 차 단속구역으로 11시 ~ 14시 까지는 가게앞, 갓길 주차가 가능합 니다. - 평일 오후 17시 이후, 주말 공휴일은 종일 가게 앞 학교 주차 장 이용 가능합니다. 내용 더보기","https://ldb-phinf.pstatic.net/20230426_63/1682461679565P28FK_JPEG/KakaoTalk_20230423_164605711_09.jpg, https://ldb-phinf.pstatic.net/20230426_151/1682461700451CabMH_JPEG/KakaoTalk_20230423_164605711_06.jpg",휴무,휴무,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,,
버거킹 제주화북DT점,햄버거,제주 제주시 일주동로 158,070-7459-7032,평점 없음,드라이브스루,주차 불가,https://naverbooking-phinf.pstatic.net/20250703_4/1751508413291s5pUt_PNG/image.png,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,09:00,24:00,,
할리스 제주황사평DT점,카페,"제주 제주시 연북로 756 1층, 2층",064-722-2529,평점 없음,드라이브스루 포장 무선 인터넷 남/녀 화장실 구분 유아시설 (놀이방) 유아의자 대기공간 단체 이용 가능 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20230623_256/1687475969481OVoOg_JPEG/1._%B8%C5%C0%E5%C3%F8%B8%E9.jpg, https://ldb-phinf.pstatic.net/20230623_187/1687475982676P5zM0_JPEG/3._%B9%D9%B8%AE%BD%BA%C5%B8%C1%B81.jpg",07:00,22:00,08:00,22:00,07:00,22:00,07:00,22:00,08:00,22:00,07:00,22:00,07:00,22:00,https://www.instagram.com/hollys_jeju_hsp.dt,
에이바우트커피 화북남문점,카페,제주 제주시 진서로 1,064-702-8666,평점 없음,단체 이용 가능 무선 인터넷 포장 남/녀 화장실 구분,주차가능,"https://ldb-phinf.pstatic.net/20200510_173/1589114607279mB6PK_JPEG/Nmtz9mDH5lkamP6tIYvg2eTy.jpg, https://ldb-phinf.pstatic.net/20200510_166/1589114609143F8VFA_JPEG/z8HNMMotLiVl00PmaYnADW74.jpg",07:30,22:00,07:30,22:00,07:30,22:00,07:30,22:00,07:30,22:00,07:30,22:00,07:30,22:00,,
에이바우트커피 스타디움점,카페,제주 제주시 거로남4길 57-15 1층 에이바우트스타디움,064-721-7771,평점 없음,,주차가능 무료,"https://ldb-phinf.pstatic.net/20250421_269/1745197335328zrmsH_PNG/%BC%D2%B1%DD%BB%A7.png, https://ldb-phinf.pstatic.net/20240125_73/1706148950174JeGd7_JPEG/IMG_7963.jpg",07:30,다음 날 02:00,07:30,다음 날 02:00,07:30,다음 날 02:00,07:30,다음 날 02:00,07:30,다음 날 02:00,07:30,다음 날 02:00,07:30,다음 날 02:00,https://www.instagram.com/a.boutstadium,
태능감자탕 제주삼화점,감자탕,제주 제주시 화삼북로 40 1층,전화번호 없음,평점 없음,포장 예약 무선 인터넷 남/녀 화장실 구분 유아의자 단체 이용 가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20260406_269/1775442436235w1E4N_JPEG/055A9406.jpg, https://ldb-phinf.pstatic.net/20260406_50/1775442430727FdAdh_JPEG/055A9401_%BA%B9%BB%E7.jpg",11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,,
작제도 흑돼지 장작구이,돼지고기구이,제주 제주시 연북로 840,0507-1376-8912,평점 없음,콜키지 가능 무료 생일 혜택 와인 페어링 콜키지 가능 유료 단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 유아의자 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 가게 앞 넓은 무료 주차장 이용 가능합니다!,"https://naverbooking-phinf.pstatic.net/20260305_246/1772671531140symw8_JPEG/image.jpg, https://ldb-phinf.pstatic.net/20260421_174/17767618565999VL6F_JPEG/Generated_Image_March_23%2C_2026_-_4_13PM.jpg",16:00,21:50,휴무,휴무,16:00,21:50,16:00,21:50,16:00,21:50,15:00,21:50,15:00,21:50,https://www.instagram.com/jakjedo,
빽다방 제주화북남문점,테이크아웃커피,제주 제주시 일주동로 185 1층 빽다방,070-4010-8526,평점 없음,포장 배달 무선 인터넷 예약 대기공간,주차가능 무료,https://ldb-phinf.pstatic.net/20220902_213/1662125608938CM7vH_JPEG/5EB9BCDD-5B1A-42F1-AD30-34F87136B3E0.jpeg,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,09:00,21:00,09:00,21:00,,
채선당 자연한가득 제주화북점,샤브샤브,제주 제주시 일주동로 188 1층,0507-1333-3860,평점 없음,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 유아의자 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 채선당 건물 뒷편. 좌측. 우측 모두 가능(18대),"https://ldb-phinf.pstatic.net/20250604_106/1749033336780VCxPV_JPEG/IMG_3486.jpeg, https://ldb-phinf.pstatic.net/20240502_120/1714626116950XYyqP_JPEG/%C0%DA%BF%AC%C7%D1%B0%A1%B5%E6-%BD%C5%B1%D4-%B7%CE%B0%ED.jpg",휴무,휴무,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,,
