Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
해이당 제주남원본점,한식,제주 서귀포시 남원읍 남태해안로 118 2층 해이당 제주남원본점,0507-1353-4826,평점 없음,단체 이용 가능 유아의자 무선 인터넷 예약,"주차가능 무료 대형 주차장 완비 해이당 건물(남원어촌계) 근처 주차선 아무 곳이나 편하게 주차하시면 되지만 본건물 1층 비바리수산은 영업중인 가게 앞이라 다른 주차선을 이용해주시면 됩니다^^. 승용차로 큰엉 3분거 리, 동백수목원 7분거리, 금호리조트 5분거리, 표선해수욕장... 내용 더보기","https://ldb-phinf.pstatic.net/20251122_215/1763820035536wh2st_JPEG/9798.jpg, https://ldb-phinf.pstatic.net/20251122_217/17638200357790PFz3_JPEG/9802.jpg",11:00,20:00,휴무,휴무,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,https://www.instagram.com/jeju_haeyidang,
여기고씨네,생선회,제주 서귀포시 남원읍 신흥로13번길 23 여기고씨네 제주남원본점,0507-1311-1339,평점 없음,드라이브스루 콜키지 가능 유료 포장 예약 무선 인터넷 배달 대기공간 단체 이용 가능 \ 반려동물 동반 남/녀 화장실 구분,주차가능 무료 발렛가능 무료 여기고씨네 앞 대로변에 잠시 정차 가능합니다. 주차는 골목 들어오셔서 느영나영게스트하우스 마당에 주자 가능합니다. 주소: 서귀포시 남원읍 신흥로13번길23,"https://ldb-phinf.pstatic.net/20230212_175/1676145480164gJ0LB_JPEG/123.jpg, https://naverbooking-phinf.pstatic.net/20251126_53/1764127329545Ua4r8_JPEG/image.jpg",14:00,다음 날 01:30,14:00,다음 날 01:30,14:00,다음 날 01:30,14:00,다음 날 01:30,14:00,다음 날 01:30,14:00,다음 날 01:30,14:00,다음 날 01:30,https://www.instagram.com/jejured_ddak,
제주사바,생선회,제주 서귀포시 남원읍 태위로 507 2층,전화번호 없음,평점 없음,콜키지 가능 유료,주차가능 무료,"https://ldb-phinf.pstatic.net/20240322_193/1711093899455qdTi0_JPEG/IMG_5536.jpeg, https://ldb-phinf.pstatic.net/20240322_182/1711093899775ll2bf_JPEG/IMG_5495.jpeg",휴무,휴무,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,https://www.instagram.com/jejusabar,
모노클제주,"카페,디저트",제주 서귀포시 남원읍 태위로360번길 30-8 모노클제주,0507-1314-0360,4.53,유기농 메뉴 글루텐프리 메뉴 포장 무선 인터넷 단체 이용 가능 대기공간 예약 남/녀 화장실 구분,주차가능 무료,"https://ldb-phinf.pstatic.net/20250901_243/1756709633058eWQJx_JPEG/IMG_4450.jpeg, https://ldb-phinf.pstatic.net/20250901_213/1756709633046JsvbO_JPEG/IMG_7713.jpeg",10:00,17:00,10:00,17:00,휴무,휴무,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,https://www.instagram.com/monoclejeju_,
로빙화,피자,제주 서귀포시 남원읍 남태해안로 13,0507-1433-1955,평점 없음,예약 단체 이용 가능 포장 무선 인터넷 남/녀 화장실 구분 유아의자,주차가능 무료,"https://ldb-phinf.pstatic.net/20231008_143/1696750445502np1R5_JPEG/IMG_0847.jpeg, https://ldb-phinf.pstatic.net/20241127_220/1732694023973FvXXV_JPEG/IMG_3981.jpeg",10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,http://www.instagram.com/the.dull_ice_flower/,
남원수제돈까스,돈가스,제주 서귀포시 남원읍 남한로 10-1 남원수제돈까스,0507-1342-7005,평점 없음,예약 단체 이용 가능 무선 인터넷 포장,주차가능,"https://ldb-phinf.pstatic.net/20200624_123/1592972768191MdI5e_JPEG/SnBxHbasw8WfuAH8biN4Tr2f.jpg, https://ldb-phinf.pstatic.net/20200624_82/1592972736838iDgF0_JPEG/2oa-2aPjJ3eVGRL26xhHuaGG.jpg",휴무,휴무,11:00,19:40,11:00,19:40,11:00,19:40,11:00,19:40,11:00,19:40,11:00,19:40,,
수망다원,"카페,디저트",제주 서귀포시 남원읍 태수로608번길 84,0507-1340-3033,4.91,무선 인터넷 남/녀 화장실 구분,주차가능 무료,"https://ldb-phinf.pstatic.net/20260224_182/1771889744583qs40z_JPEG/1000136103.jpg, https://ldb-phinf.pstatic.net/20230312_130/1678607690610YBW8R_JPEG/%B8%BB%C2%F7%B6%F3%B6%BC_%C0%CC%B9%CC%C1%F6.jpg",10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,https://www.instagram.com/sumangdawon,
카페 담소요,"카페,디저트",제주 서귀포시 남원읍 신례천로 193 담소요,0507-1312-4039,평점 없음,유기농 메뉴 무선 인터넷 \ 반려동물 동반 남/녀 화장실 구분 포장,주차가능 무료 한라산 아래 숨어있는 프라이빗 정원입니다. 앱 혹은 네비게이션 사용을 권장드립니다.,"https://ldb-phinf.pstatic.net/20240825_6/1724562321081zSbgi_JPEG/913A1169.jpg, https://ldb-phinf.pstatic.net/20240825_50/1724562320942yLlVG_JPEG/913A1206.jpg",09:00,17:30,휴무,휴무,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,https://www.instagram.com/damsoyo/,
백한철꽈배기&식빵,베이커리,제주 서귀포시 남원읍 남한로21번길 56,전화번호 없음,평점 없음,,"주차 불가 주차공간이 없으니, 근처 소방서 맞은편 무료 주차장 이용 부탁드립니다.","https://clip-service-phinf.pstatic.net/MjAyNjA0MjlfMjYw/MDAxNzc3NDY5NzI5Njc4.j7uwBntZQibip5_r3hqPlblkVNLtRGt5zC22cyTBt30g.75lW0Dw6qaoXLdOxs9iqVyY0mNTxQ3au5gHddhg9WQAg.JPEG/PublishThumb_20260429_222444_906.jpg, https://pup-review-phinf.pstatic.net/MjAyNTA3MThfMjI5/MDAxNzUyODQxMDYxNDIx.wGuKb2yRIRM484fShEOyfI8ypKuY53l23nCMdbZ8YCwg.zsHbGVLORtQA1Kzvdg6cBZUDBZ9b-mqOIff-nsnzxUUg.JPEG/20250717_124910.jpg.jpg",07:30,15:00,휴무,휴무,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,,
공천포식당,"해물,생선요리",제주 서귀포시 남원읍 공천포로 89 공천포식당,064-767-2425,4.45,단체 이용 가능,,https://ldb-phinf.pstatic.net/20200430_125/158822905593133I4U_JPEG/DF5tfVy-tWk01oOkxvMwPwPo.jpg,10:00,15:30,10:00,15:30,10:00,15:30,휴무,휴무,10:00,15:30,10:00,15:30,10:00,15:30,,
