Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
제주할망밥상 모슬포점,생선구이,제주 서귀포시 대정읍 최남단해안로 69 제주할망밥상 모슬포점,0507-1419-3058,4.56,단체 이용 가능 무선 인터넷 예약 남/녀 화장실 구분 출입구 휠체어 이용가능 좌석 휠체어 이용가능,"주차가능 무료 매장 앞 30대 이상 주차 가능한 전용 주차 공간이 마련되어 있어 차 량 방문도 주차 걱정 없이 편하게 이용 가능합니다. 1인 15,000원 으로 정갈한 한정식 한 상을 즐길 수 있어 부모님과 함께 오기 좋은 식당, 여행 중 든든한 한 끼를 해결하기 좋은 한정식 맛집! 저... 내용 더보기","https://ldb-phinf.pstatic.net/20251015_30/1760494936043yqDD9_PNG/%B4%D9%BF%EE%B7%CE%B5%E5.png, https://ldb-phinf.pstatic.net/20260327_144/1774618301507LEjjo_JPEG/260325_%C1%A6%C1%D6_%C7%D2%B8%C1%B9%E4%BB%F3_%B8%F0%BD%BD%C6%F7%C1%A10477.jpg",09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,https://www.instagram.com/halmangbabsang_official/,https://blog.naver.com/jejuhalmang_moseulpo
어린왕자감귤밭,"카페,디저트",제주 서귀포시 대정읍 추사로36번길 45-1,0507-1461-1605,평점 없음,단체 이용 가능 남/녀 화장실 구분 \ 반려동물 동반,주차가능 무료,"https://ldb-phinf.pstatic.net/20231209_43/1702127775114OcEXt_JPEG/IMG_1257.jpeg, https://ldb-phinf.pstatic.net/20231209_260/17021277752691JjW1_JPEG/IMG_1259.jpeg",09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,https://www.instagram.com/leebanzang,
홍성방,중식당,제주 서귀포시 대정읍 하모항구로 76,064-794-9555,평점 없음,예약 포장 남/녀 화장실 구분 단체 이용 가능 배달,주차가능 무료,"https://ldb-phinf.pstatic.net/20190417_171/1555464824379XmYVk_JPEG/OrQDlp3e8Mu9VoS3djdG_x7k.jpg, https://ldb-phinf.pstatic.net/20190417_120/15554648367966TRgD_JPEG/AslhOGyJefT8EXqbeiEENryd.jpg",09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,,
모아시,"카페,디저트",제주 서귀포시 대정읍 무릉중앙로24번길 16 모아시,064-794-9995,평점 없음,로스터리 \ 반려동물 동반 포장 단체 이용 가능 무선 인터넷 남/녀 화장실 구분 대기공간 출입구 휠체어 이용가능,"주차가능 무료 모아시는 단독 넓은 전용 주차장을 운영하고 있습니다. 건물 앞 주차장 이용 가능하며 무료 주차, 대형 차량도 편리하게 주차하실 수 있습니다.","https://ldb-phinf.pstatic.net/20260428_50/1777381622684HLe8T_JPEG/IMG_6181.jpeg, https://ldb-phinf.pstatic.net/20260428_148/1777386599474V5bbv_JPEG/IMG_8428.jpeg",11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,https://www.instagram.com/moasi.le.rocher,
카우보이스테이크하우스 신화월드본점,양식,제주 서귀포시 대정읍 영어도시로 77-5 (보성리) 1층,0507-1487-1565,4.86,콜키지 가능 유료 단체 이용 가능 남/녀 화장실 구분 포장 배달 유아의자,"주차가능 무료 <카우보이스테이크하우스 신화월드본점 주차안내> 매장 앞 전용 주 차장 보유 중입니다. 최대 20대 까지 주차 가능하여 주차하기 편합니 다 ^^ 항상 신화월드맛집 , 서귀포맛집 으로 노력하는 카우보이스테 이크하우스 가 되겠습니다. 내용 더보기","https://ldb-phinf.pstatic.net/20260223_124/1771830310572v4rDu_JPEG/DSC00861.jpg, https://ldb-phinf.pstatic.net/20260223_255/1771830138757ucQGq_JPEG/DSC01115.jpg",11:10,22:00,11:10,22:00,11:10,22:00,11:10,22:00,11:10,22:00,11:10,22:00,11:10,22:00,,https://blog.naver.com/kkokko9278
호정이네,한식,제주 서귀포시 대정읍 하모항구로 22-11,064-794-3222,4.88,단체 이용 가능 무선 인터넷 \ 반려동물 동반 포장,주차가능 무료,"https://ldb-phinf.pstatic.net/20210822_117/1629623530128FXaw8_JPEG/LDSNhgSBvwhYGQEaGtsTkLxj.jpg, https://ldb-phinf.pstatic.net/20210822_107/16296236022245P4NA_JPEG/UZf5LZz9HYtfslF0DKtL1WoT.jpg",09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,https://www.instagram.com/jeju_pey5889,
M1971 카페 엠브릿지,카페,제주 서귀포시 대정읍 최남단해안로 128 M1971 요트클럽하우스 1F,070-4772-9714,평점 없음,단체 이용 가능 무선 인터넷 \ 반려동물 동반 남/녀 화장실 구분 장애인 주차구역,주차가능,"https://ldb-phinf.pstatic.net/20230213_119/1676266417370IpDXB_JPEG/%C5%AC%B7%B4%C7%CF%BF%EC%BD%BA_%C0%FC%B0%E6.jpg, https://ldb-phinf.pstatic.net/20221214_127/1670977590900UHnI0_JPEG/KakaoTalk_20221214_091632277_01.jpg",08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,http://www.instagram.com/jeju_m1971,
수눌음,생선회,제주 서귀포시 대정읍 하모항구로 50 수눌음,064-794-0025,4.52,,주차가능,"https://ldb-phinf.pstatic.net/20200914_28/16000583324210HEyA_JPEG/A0PLDU2RaKTaeVVSeoNbF9XN.jpg, https://ldb-phinf.pstatic.net/20200914_239/1600058343077u7mo2_JPEG/PfAREg29sHcjaqL_cDIvEJw0.jpg",휴무,휴무,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,,
더그라인드,"카페,디저트",제주 서귀포시 대정읍 노을해안로 98 더그라인드,0507-1356-7642,평점 없음,테이크아웃 할인 남/녀 화장실 구분 무선 인터넷 포장 예약 단체 이용 가능 \ 반려동물 동반 방문접수/출장 배달 유아의자 대기공간,주차가능 무료,"https://ldb-phinf.pstatic.net/20240206_92/1707199371976oPXiO_JPEG/20240202_175813.jpg, https://ldb-phinf.pstatic.net/20240206_168/1707199584235jpaQN_JPEG/20240202_175639.jpg",10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,https://www.instagram.com/thegrind3283,https://blog.naver.com/heeya3283
와랑와랑 한식 뷔페,한식뷔페,제주 서귀포시 대정읍 추사로 93-11 1층,0507-1415-4933,평점 없음,무한 리필 와인 페어링 유기농 메뉴 단체 이용 가능 무선 인터넷 남/녀 화장실 구분 유아의자 대기공간 예약,주차가능 무료 주차는 편안하게 하시면 됩니다,"https://ldb-phinf.pstatic.net/20260308_96/1772898602679dKAeo_JPEG/%B4%EB%C1%A4%C0%BE%B0%A1%BC%BA%BA%F1%B8%C0%C1%FD_%C7%D1%BD%C4%BA%DF%C6%E4.jpg_%286%29.jpg, https://ldb-phinf.pstatic.net/20260308_162/1772898602216hRrtz_JPEG/%C1%A6%C1%D6%B0%A1%C1%B7%BF%DC%BD%C4_%BF%CD%B6%FB%BF%CD%B6%FB.jpg_%282%29.jpg",11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,https://www.instagram.com/warang_warang_meal,
