Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
금돈상회,"육류,고기요리",제주 제주시 광양8길 11,064-726-8295,평점 없음,생일 혜택 단체 이용 가능 유아의자 남/녀 화장실 구분 예약 좌석 휠체어 이용가능,주차 불가 금돈상회 도보 5분 제광교회 앞 공영 주차장을 이용해주세요.,"https://ldb-phinf.pstatic.net/20260315_265/1773571926020mhwQC_PNG/ChatGPT_Image_2026%B3%E2_3%BF%F9_15%C0%CF_%BF%C0%C8%C4_07_51_53.png, https://ldb-phinf.pstatic.net/20240605_188/171756347705899Son_JPEG/2.jpg",16:00,다음 날 05:00,16:00,다음 날 05:00,16:00,다음 날 05:00,16:00,다음 날 05:00,16:00,다음 날 05:00,16:00,다음 날 05:00,16:00,다음 날 05:00,https://www.instagram.com/geumdon_jeju,
한라식당 제주본점,한식,제주 제주시 광양9길 19,전화번호 없음,4.55,단체 이용 가능 유아의자 포장 예약 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 가게 문앞 주차 가능합니다 (오전11시~오후2시가능) 그외 시간대는 맞은편 제주시청주차장 및 골목주차 하셔야합니다 ^^,"https://ldb-phinf.pstatic.net/20250727_242/1753569980677shvSx_JPEG/1000011218.jpg, https://ldb-phinf.pstatic.net/20260310_218/1773133883911hg00l_JPEG/1000048245.jpg",09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,
미카도스시 제주시청점,"초밥,롤",제주 제주시 광양14길 1 2층,0507-1422-0033,평점 없음,단체 이용 가능 포장 배달 무선 인터넷 남/녀 화장실 구분,주차 불가,"https://ldb-phinf.pstatic.net/20231222_226/1703224529715h4R3i_JPEG/%C1%A6%C1%D6%28%C4%C1%C6%DF%BF%CF%29.jpg, https://ldb-phinf.pstatic.net/20231222_139/1703224583058JKgYe_JPEG/KakaoTalk_20231222_101309206_03.jpg",11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,https://www.instagram.com/mikadosushi_official/,
봉자막창 제주시청점,"곱창,막창,양",제주 제주시 광양8길 17 1층,0507-1336-9565,평점 없음,단체 이용 가능 포장 예약,,"https://ldb-phinf.pstatic.net/20260330_298/1774834750428EDirN_JPEG/%A4%A1%B8%DE%C0%CE1.jpg, https://ldb-phinf.pstatic.net/20260330_207/1774834750511Ttjvb_JPEG/%A4%A1%B8%DE%C0%CE2.jpg",17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,,
시월,일식당,제주 제주시 남광로2길 21 1층 키친 시월,070-7799-0777,평점 없음,예약 포장 유아의자 출입구 휠체어 이용가능,주차가능 무료 주차는 주변 공영주차장을 이용해주세요!,"https://ldb-phinf.pstatic.net/20190122_151/1548139903661e8B6w_JPEG/LUgnIrX8yAwX1BHQxmAWe7CY.jpeg.jpg, https://ldb-phinf.pstatic.net/20200320_49/1584703687079cr3pY_JPEG/bYjzclSY8RT5ymFgSDDbomtc.jpeg.jpg",11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,http://instagram.com/kitchen.oct,
스타벅스 제주시청점,카페,제주 제주시 중앙로 215 (이도이동),1522-3232,평점 없음,,,"https://ldb-phinf.pstatic.net/20190828_93/1566953601239OT9MQ_PNG/xX7Wv642gXMoTI0DAv0hRymS.png, https://ldb-phinf.pstatic.net/20200825_26/1598301947939DCwpf_JPEG/3511_20180503083609_mu8yx.JPG",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,http://www.instagram.com/starbuckskorea,
맥도날드 제주시청DT점,햄버거,제주 제주시 중앙로 277,064-901-3900,평점 없음,배달 24시간 드라이브스루 포장,,"https://pup-post-phinf.pstatic.net/MjAyNjAzMjlfMjM3/MDAxNzc0NzgzNTgzOTI4.KpHKB3qBhl7yHjIjIJ8XX6m4aYzsPVnd7Kmd_62uhK0g.GzzWTaOlRbocxY2ie6gtCo9UUBu0B3Oza7ic69KcHLYg.JPEG/26184B69-01C9-4131-A635-9AFC51A02E20.jpg, https://pup-review-phinf.pstatic.net/MjAyNTA3MTRfNDUg/MDAxNzUyNDk1MjU4ODYx.t59BZYbP2ULHmEYGLqsCawfk505GtiUFdjOAEjNRXGYg.MlmykJPvorAeakcqSiuhagYmd7FlVcR_pxJ70aCz3ekg.JPEG/9E7BA2F7-799E-43EA-BE74-5D41E789EE12.jpeg",00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,https://www.instagram.com/mcdonalds_kr/,
064인생곱창,"곱창,막창,양",제주 제주시 남광로 72 064인생곱창,0507-1355-1332,4.75,단체 이용 가능 무선 인터넷 남/녀 화장실 구분,주차 불가,"https://ldb-phinf.pstatic.net/20260102_9/1767360087551HhkAT_JPEG/B-1.jpg, https://ldb-phinf.pstatic.net/20260102_200/176736008745690Ue6_JPEG/C-11.jpg",16:00,24:00,16:00,24:00,16:00,24:00,16:00,24:00,16:00,24:00,16:00,24:00,휴무,휴무,https://www.instagram.com/jeju_life_gobehang,https://blog.naver.com/ssosso0947
제주미담,한식,제주 제주시 가령로 19 이도이동,064-753-0043,4.31,포장 유아의자 출입구 휠체어 이용가능 좌석 휠체어 이용가능,"주차가능 무료 매장 앞 6대, 전용주차장(매장 옆) 12대.","https://ldb-phinf.pstatic.net/20230502_111/16829987603443vKCL_JPEG/20230501_190054.jpg, https://ldb-phinf.pstatic.net/20250705_244/1751713508389vDy6R_JPEG/IMG_2865.jpeg",09:00,21:30,휴무,휴무,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,,
머그라이,아시아음식,제주 제주시 구남동2길 19-3 1층 머그라이,0507-1381-4485,평점 없음,무선 인터넷 남/녀 화장실 구분,주차가능,"https://ldb-phinf.pstatic.net/20260215_224/1771163912972H19xb_JPEG/1000003576.jpg, https://ldb-phinf.pstatic.net/20260215_18/1771163914341UnKIo_JPEG/1000002886.jpg",11:00,20:30,11:00,20:30,휴무,휴무,11:00,20:30,11:00,20:30,11:00,20:30,11:00,20:30,https://www.instagram.com/mugraiy,
호근동,한식,제주 제주시 광양10길 17,064-752-3280,평점 없음,,,"https://ldb-phinf.pstatic.net/20190814_8/1565792619217pT6ui_JPEG/u6PdHf9UvhjmD5kEiOnzl1Kz.jpeg.jpg, https://ldb-phinf.pstatic.net/20190907_41/1567839328742GLaP4_JPEG/EUFOXNNPXgCcVFLFdupIFetl.jpeg.jpg",17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,17:00,다음 날 02:00,,
